,,99.9,DJT HOLDINGS LLC,,Member
,,,,,
23,Briar Hall Operations LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,0.1,Development Member Inc,,Member
,,99.9,"Trump, Donald J.",,Member
,,,,,
24,"BRIARCLIFF PROPERTIES, INC *(1)",,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name:,Ownership,Title,
,,BRIAR HALL DEVELOPMENT LLC (N/K/A TRUMP BRIARCLIFF MANOR DEVELOPMENT LLC),0.10%,Member,
,,,,,
25,"Caribusiness Investments, S.R.L.",,,,
,Owned by:,% Ownership,Name,,Role
,,1,THE CARIBUSINESS RE CORP,,Member
,,99,CARIBUSINESS MRE LLC,,Member
,,,,,
26,CARIBUSINESS MRE LLC *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,1,THE CARIBUSINESS RE CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,Has ownership interest in:,Entity Name,Ownership,Title,
,,"Caribusiness Investments, S.R.L.",99%,Member,
,,,,,
27,Chelsea Hall LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Member
,,75,Trump Family Members,,Member
,,,,,
28,CHICAGO UNIT ACQUISITION LLC *(5),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
29,CHINA TRADEMARK LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
30,"Clyde Hall, Inc *(3)",,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Shareholder
,,75,Trump Family Members,,Shareholder
,,,,,
31,"Coronet Hall, Inc *(3)",,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Shareholder
,,75,Trump Family Members,,Shareholder
,,,,,
32,"Country Apartments, LLC",,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Member
,,75,Trump Family Members,,Member
,,,,,
33,Country Investors LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Member
,,75,Trump Family Members,,Member
,,,,,
34,"Country Properties, LLC",,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Member
,,75,Trump Family Members,,Member
,,,,,
35,D B PACE ACQUISITION MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,"D B Pace Acquisition, LLC",1.00%,Managing Member,
,,,,,
36,"D B Pace Acquisition, LLC",,,,
,Owned by:,% Ownership,Name,,Role
,,1,D B PACE ACQUISITION MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
37,Development Member Inc *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,Briar Hall Operations LLC,0.10%,Member,
,,,,,
38,DJ Aerospace (Bermuda) Limited *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
39,DJT AEROSPACE LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
40,DJT ENTREPRENEUR MANAGING MEMBER LLC *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,Has ownership interest in:,Entity Name,Ownership,Title,
,,THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC),0.10%,Managing Member,
,,,,,
41,DJT ENTREPRENEUR MEMBER LLC *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,Has ownership interest in:,Entity Name,Ownership,Title,
,,THE TRUMP ENTREPRENEUR INITIATIVE LLC (NY DOMESTIC),91.90%,Member,
,,,,,
42,DJT HOLDINGS LLC,,,,
,Assumed Names,D/B/A,Jurisdiction,Expiration Date,Filing Date
,,DJT 3 HOLDINGS LLC,Florida,,
,Owned by:,% Ownership,Name,,Role
,,1,DJT HOLDINGS MANAGING MEMBER LLC,,Managing Member
,,99,The Donald J. Trump Revocable Trust,,Member
,Has ownership interest in:,Entity Name,Ownership,Title,
,,4 SHADOW TREE LANE LLC,99%,Member,
,,809 NORTH CANON LLC,99%,Member,
,,BRIAR HALL DEVELOPMENT LLC (N/K/A TRUMP BRIARCLIFF MANOR DEVELOPMENT LLC,99%,Member,
,,DT CONNECT II LLC,99%,Member,
,,TRUMP NATIONAL GOLF CLUB - JUPITER,99%,Member,
,,LFB ACQUISITION LLC,99%,Member,
,,PINE HILL DEVELOPMENT LLC,99%,Member,
,,Seven Springs LLC,99.90%,Member,
,,TIHT CHICAGO MEMBER ACQUISITION LLC,100%,Member,
,,TRUMP NATIONAL GOLF CLUB - CHARLOTTE,99%,Member,
,,TRUMP NATIONAL GOLF CLUB - HUDSON VALLEY,99%,Member,
,,TNGC JUPITER MANAGEMENT LLC,99%,Member,
,,TRUMP NATIONAL GOLF CLUB - PHILADELPHIA,99%,Member,
,,TRUMP CHICAGO MANAGING MEMBER LLC,100%,Member,
,,TRUMP CHICAGO MEMBER LLC,100%,Member,
,,TRUMP NATIONAL DORAL,99%,Member,
,,TRUMP LAS VEGAS MANAGING MEMBER LLC,94%,Member,
,,TRUMP LAS VEGAS MEMBER LLC,94%,Member,
,,TRUMP MARKS ASIA LLC,99%,Member,
,,TRUMP NATIONAL GOLF CLUB - WESTCHESTER,99%,Member,
,,TRUMP NATIONAL GOLF CLUB - WASHINGTON DC,99%,Member,
,,TRUMP OLD POST OFFICE LLC,76.73%,Member,
,,TRUMP SCOTSBOROUGH SQUARE LLC,99%,Member,
,,TRUMP VINEYARD ESTATES LLC,99%,Member,
,,TRUMP VIRGINIA LOT 5 LLC,99%,Member,
,,TRUMP WINE MARKS LLC,99%,Member,
,,TURNBERRY SCOTLAND LLC,99%,Member,
,,TW VENTURE I LLC,99%,Member,
,,TW VENTURE II LLC,99%,Member,
,,WHITE COURSE LLC,99%,Member,
,,OPO HOTEL MANAGER LLC,76.50%,Member,
,,THC VENTURE I LLC,99%,Member,
,,,,,
43,DJT HOLDINGS MANAGING MEMBER LLC *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,The Donald J. Trump Revocable Trust,Member,
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DJT HOLDINGS LLC,1.00%,Managing Member,
,,,,,
44,DJT LAND HOLDINGS MEMBER CORP *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
45,DJT OPERATIONS CX LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
46,DJT OPERATIONS I LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
47,DJT OPERATIONS II LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,Has ownership interest in:,Entity Name,Ownership,Title,
,,TAG AIR INC,100.00%,Shareholder,
,,,,,
48,Donald J. Trump Enterprises LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,Trump Family Members,,Member
,,,,,
49,Donald J. Trump Enterprises II LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,Trump Family Members,,Member
,,,,,
50,Donald J. Trump Enterprises II LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,Trump Family Members,,Member
,,,,,
51,DSN LICENSING LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,1,"Trump, Donald J.",,Member
,,99,DSN LICENSING MEMBER CORP,,Managing Member
,,,,,
52,DSN LICENSING MEMBER CORP *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DSN LICENSING LLC,99%,Managing Member,
,,,,,
53,DT APP WARRANT HOLDING LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT APP WARRANT HOLDING MANAGING MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
54,DT APP WARRANT HOLDING MANAGING MEMBER CORP *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT APP WARRANT HOLDING LLC,1%,Managing Member,
,,,,,
55,DT CONNECT II LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT CONNECT II MEMBER CORP,,Managing Member
,,99,DJT HOLDINGS LLC,,Member
,,,,,
56,DT CONNECT II MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT CONNECT II LLC,1.00%,Managing Member,
,,,,,
57,DT CONNECT LLC *(5),,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT CONNECT MANAGING MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
58,DT CONNECT MANAGING MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT CONNECT LLC,1%,Managing Member,
,,,,,
59,DT DUBAI GOLF MANAGER LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT DUBAI GOLF MANAGER MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
60,DT DUBAI GOLF MANAGER MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT DUBAI GOLF MANAGER LLC,1%,Managing Member,
,,,,,
61,DT DUBAI II GOLF MANAGER LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT DUBAI II GOLF MANAGER MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
62,DT DUBAI II GOLF MANAGER MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT DUBAI II GOLF MANAGER LLC,1%,Managing Member,
,,,,,
63,DT HOME MARKS INTERNATIONAL LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT HOME MARKS INTERNATIONAL MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
64,DT HOME MARKS INTERNATIONAL MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT HOME MARKS INTERNATIONAL LLC,1%,Managing member,
,,,,,
65,DT INDIA VENTURE LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT INDIA VENTURE MANAGING MEMBER CORP,,Member
,,99,"Trump, Donald J.",,Member
,,,,,
66,DT INDIA VENTURE MANAGING MEMBER CORP *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT INDIA VENTURE LLC,1%,Member,
,,,,,
67,DT MARKS BAKU LLC *(),,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT MARKS BAKU MANAGING MEMBER CORP,,Managing member
,,99,"Trump, Donald J.",,Member
,,,,,
68,DT MARKS BAKU MANAGING MEMBER CORP *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT MARKS BAKU LLC,1%,Managing Member,
,,,,,
69,DT MARKS DUBAI II LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT MARKS DUBAI II MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
70,DT MARKS DUBAI II MEMBER CORP *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
71,DT MARKS DUBAI LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT MARKS DUBAI MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
72,DT MARKS DUBAI MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT MARKS DUBAI LLC,1%,Managing Member,
,,,,,
73,DT MARKS GURGAON LLC *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT MARKS GURGAON MANAGING MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
74,DT MARKS GURGAON MANAGING MEMBER CORP *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
75,DT MARKS JERSEY CITY LLC *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
76,DT MARKS JUPITER LLC *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Managing Member
,,,,,
77,DT MARKS PRODUCTS INTERNATIONAL LLC *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT MARKS PRODUCTS INTERNATIONAL MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
78,DT MARKS PRODUCTS INTERNATIONAL MEMBER CORP *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT MARKS PRODUCTS INTERNATIONAL LLC,1%,Managing Member,
,,,,,
79,DT MARKS PUNE II LLC *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT MARKS PUNE II MANAGING MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
80,DT MARKS PUNE II MANAGING MEMBER CORP *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
81,DT MARKS PUNE LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT MARKS PUNE MANAGING MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
82,DT MARKS PUNE MANAGING MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT MARKS PUNE LLC,1%,Managing Member,
,,,,,
83,DT MARKS QATAR LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT MARKS QATAR MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
84,DT MARKS QATAR MEMBER CORP *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,,,,
85,DT MARKS RIO LLC *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT MARKS RIO MEMBER CORP,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
86,DT MARKS RIO MEMBER CORP *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT MARKS RIO LLC,100%,Managing Member,
,,,,,
87,DT MARKS VANCOUVER LP *(4),,,,
,Owned by:,% Ownership,Name,Title,
,,1,DT MARKS VANCOUVER MEMBER CORP,General Partner,
,,99,"Trump, Donald J.",Limited Partner,
,,,,,
88,DT MARKS VANCOUVER MEMBER CORP *(4),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT MARKS VANCOUVER LP,1.000000 units (100%),General Partner,
,,,,,
89,DT Marks Worli LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT Marks Worli Member Corp,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
90,DT Marks Worli Member Corp *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT Marks Worli LLC,1%,Managing Member,
,,,,,
91,DT TOWER GURGAON LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,1,DT TOWER GURGAON MANAGING MEMBER CORP,,Managing Member
,,99,TTTT VENTURE LLC,,Member
,,,,,
92,DT TOWER GURGAON MANAGING MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,DT TOWER GURGAON LLC,1.00%,Managing Member,
,,,,,
93,DTW VENTURE LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
94,DTW VENTURE MANAGING MEMBER CORP *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
95,EID Venture I Corporation *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
96,EID Venture I LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
97,Excel Venture I Corporation *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,Excel Venture I LLC,1.00%,Managing Member,
,,,,,
98,Excel Venture I LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,1,Excel Venture I Corporation,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
99,Fifty-Seven Management Corp *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,Fifty-Seventh Street Associates LLC,1.00%,Managing Member,
,,,,,
100,Fifty-Seventh Street Associates LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,1,Fifty-Seven Management Corp,,Managing Member
,,99,The Trump-Equitable Fifth Avenue Company,,Member
,,,,,
101,FIRST MEMBER INC *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,TRUMP PALACE/PARC LLC,0.10%,Managing Member,
,,,,,
102,FLIGHTS INC *(5),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
103,FLORIDA PROPERTIES MANAGEMENT LLC *(2),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
104,Fountainbleu Apartments LLC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Member
,,75,Trump Family Members,,Member
,,,,,
105,Golf Productions LLC *(5),,,,
,Owned by:,% Ownership,Name,,Role
,,1,Golf Productions Member Corp,,Managing Member
,,99,"Trump, Donald J.",,Member
,,,,,
106,Golf Productions Member Corp *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,Golf Productions LLC,1.00%,Managing Member,
,,,,,
107,Golf Recreation Scotland Limited *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,Turnberry Scotland LLC,,Sole Member
,Has ownership interest in:,Entity Name,Ownership,Title,
,,TRUMP TURNBERRY,100%,Shareholder,
,,,,,
108,HELICOPTER AIR SERVICES INC *(3),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,,,,,
109,"Highlander Hall, Inc *(3)",,,,
,Owned by:,% Ownership,Name,,Role
,,25,"Trump, Donald J.",,Shareholder
,,75,Trump Family Members,,Shareholder
,,,,,
110,"Hudson Waterfront Associates I, LP *(1)",,,,
,Owned by:,% Ownership,Name,,Role
,,1,HUDSON WATERFRONT I CORPORATION,,Partner
,,69,"HUDSON WESTSIDE ASSOCIATES I, LP",,Partner
,,30,"Trump, Donald J.",,Partner
,Has ownership interest in:,Entity Name,Ownership,Title,
,,"HWA 555 Owners, LLC",100%,Partner,
,,,,,
111,"Hudson Waterfront Associates II, LP",,,,
,Owned by:,% Ownership,Name,,Role
,,1,HUDSON WATERFRONT II CORPORATION,,Partner
,,69,"HUDSON WESTSIDE ASSOCIATES II, LP",,Partner
,,30,"Trump, Donald J.",,Partner
,,,,,
112,"Hudson Waterfront Associates III, LP *(1)",,,,
,Owned by:,% Ownership,Name,,Role
,,1,HUDSON WATERFRONT III CORPORATION,,Partner
,,69,"HUDSON WESTSIDE ASSOCIATES III, LP",,Partner
,,30,"Trump, Donald J.",,Partner
,Has ownership interest in:,Entity Name,Ownership,Title,
,,HWA 1290 III LLC,100%,Partner,
,,,,,
113,"Hudson Waterfront Associates IV, LP *(1)",,,,
,Owned by:,% Ownership,Name,,Role
,,1,HUDSON WATERFRONT IV CORPORATION,,Partner
,,69,"HUDSON WESTSIDE ASSOCIATES IV, LP",,Partner
,,30,"Trump, Donald J.",,Partner
,Has ownership interest in:,Entity Name,Ownership,Title,
,,HWA 1290 IV LLC,100%,Partner,
,,,,,
114,"Hudson Waterfront Associates V, LP *(1)",,,,
,Owned by:,% Ownership,Name,,Role
,,1,HUDSON WATERFRONT V CORPORATION,,Partner
,,69,"HUDSON WESTSIDE ASSOCIATES V, LP",,Partner
,,30,"Trump, Donald J.",,Partner
,Has ownership interest in:,Entity Name,Ownership,Title,
,,HWA 1290 V LLC,100%,Partner,
,,,,,
115,"Hudson Waterfront Associates, LP *(3)",,,,
,Owned by:,% Ownership,Name,,Role
,,1,HUDSON WATERFRONT CORPORATION,,Partner
,,69,"HUDSON WESTSIDE ASSOCIATES, LP",,Partner
,,30,"Trump, Donald J.",,Partner
,,,,,
116,Indian Hills Holdings LLC *(#),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
117,TRUMP NATIONAL GOLF CLUB - JUPITER,,,,
,Owned by:,% Ownership,Name,,Role
,,1,JUPITER GOLF CLUB MANAGING MEMBER CORP,,Managing Member
,,99,DJT HOLDINGS LLC,,Member
,,,,,
118,JUPITER GOLF CLUB MANAGING MEMBER CORP *(1),,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Shareholder
,Has ownership interest in:,Entity Name,Ownership,Title,
,,TRUMP NATIONAL GOLF CLUB - JUPITER,1%,Managing Member,
,,,,,
119,LAMINGTON FAMILY HOLDINGS LLC,,,,
,Owned by:,% Ownership,Name,,Role
,,100,"Trump, Donald J.",,Member
,,,,,
120,TRUMP NATIONAL GOLF CLUB - BEDMINSTER,,,,
